name	distance	shape	rejected
Vacation	61.1	0.317	да
Gudrun_Test5_CPAL	47.3	0.318	да
Aqua_Plastics	20.2	0.319	
C_134	55.9	0.319	да
H_Lander_Cab	54.3	0.324	да
H_004	36.5	0.325	да
XX36	61.0	0.327	да
C_055_CPAL	42.9	0.328	да
Alabaster_Queen_1_CPAL	57.1	0.329	да
X66_Ped	43.9	0.331	да
Queen_Gentle_3	43.1	0.331	да
Chem_Ped	31.1	0.335	да
AlienGauss	13.2	0.337	
Szef	57.9	0.337	да
Ilya_Big1B_CPAL	59.1	0.339	да
AIRBIKE_PIRANHA	49.6	0.341	да
SSBG_Ped	3.6	0.341	
Maid	30.0	0.341	да
SpaceYaht	52.0	0.343	да
Queen_Warrior_2	33.8	0.345	да
AI_Loknar_Assassin	15.4	0.348	
X95_Ped	35.6	0.349	да
H_006	46.1	0.350	да
GreatBase	36.3	0.355	да
Rocket_Science	58.4	0.355	да
Burning_Suns	75.6	0.358	да
DIVER	83.6	0.361	да
ShadowSyn_CPAL	15.8	0.363	
Galactic_Society	46.3	0.367	да
Lo_Wang	42.7	0.367	да
Beastmen_2	37.1	0.368	да
Gudrun_Explorations_5	24.3	0.371	
Noctis_1	38.5	0.375	да
Medicine_Spatiale	69.5	0.376	да
GDX_Out	15.9	0.376	
Codex_Choice2	57.7	0.377	да
Farmgirls	69.2	0.377	да
Bugeyes	41.9	0.378	да
SeaTransport	58.6	0.378	да
UNMAGICA	83.2	0.380	да
ZanderSmallDark2	27.5	0.380	
Styx	65.1	0.381	да
Roman_Soldiers	59.3	0.381	да
Captain_RedGreen_Only	51.0	0.382	да
Monolit	11.8	0.384	
Civilian_Traffic	44.0	0.388	да
Strip_Club	74.0	0.392	да
C_092_CPAL	64.4	0.393	да
XX22	56.3	0.394	да
Eridian_Elites	52.3	0.394	да
Ogre_God	31.4	0.398	да
Sexy_Clinic	97.9	0.399	да
Void_Road	31.5	0.399	да
MEDIEVAL_CPAL	54.2	0.400	да
Prize_Saya	66.5	0.401	да
Siren_Infiltration_CPAL	26.6	0.403	
TENTACLEPET	88.2	0.403	да
X61_Ped	27.1	0.403	
Death_Angel_CPAL	26.1	0.405	
EternalSunset_FG_501_CPAL	48.1	0.406	да
Cave_Anomaly	17.1	0.408	
C_149_CPAL	47.7	0.411	да
Black_Sun	48.5	0.413	да
Kokoro	63.0	0.415	да
Underwater_9_CPAL	65.2	0.416	да
C_057	53.1	0.417	да
ToMars	47.8	0.417	да
AGAINST_ODDS	69.0	0.418	да
Booty_SPT_CPAL	26.3	0.418	
Witches2	51.1	0.419	да
CARREER_KILLS	59.1	0.419	да
Serpieri_1	84.1	0.420	да
Crypt	34.5	0.420	да
sgr_04_CPAL	21.0	0.420	
RedMage_Flowers_FG_333_CPAL	39.0	0.420	да
Quarantine	30.7	0.420	да
ATTITUDE_PROBLEM	49.5	0.420	да
MAGICIENNE	72.8	0.422	да
Slave_Soldiers	75.0	0.424	да
sgr_03_CPAL	33.4	0.424	да
CodexGold_FG_413_CPAL	49.1	0.426	да
sgr_01_CPAL	44.1	0.428	да
Cat_Nun_Warrior_CPAL	26.9	0.428	
BeastmenScience	50.2	0.428	да
Postapoc_Manara_CPAL	45.6	0.430	да
GDX_Singer_CPAL	16.6	0.431	
WRESTLER	61.6	0.432	да
H_015	42.7	0.432	да
NEKO_OUTLAW	43.2	0.433	да
MAXDAKKA	71.0	0.435	да
SC_34_CPAL	53.2	0.435	да
C_017_CPAL	54.8	0.436	да
Runt_Drill	62.3	0.438	да
Theban_Bar	30.3	0.438	да
MBT	54.8	0.439	да
Prize_Dragon_1	25.8	0.442	
Cat_Secret_Order	25.2	0.443	
Gravball	58.7	0.444	да
VR_Shock	48.3	0.445	да
Captain_GrayExt_CPAL	24.1	0.445	
C_076_CPAL	66.7	0.448	да
Intro_09d_CPAL	47.2	0.449	да
Starship_Junkyard_CPAL	42.0	0.450	да
Hermetic_Order	66.0	0.450	да
Micronoids	20.7	0.450	
Spider_Race	25.4	0.452	
Seeders	54.3	0.452	да
Witch_Jupiter	37.1	0.453	да
POSTMORTEM_KILL	63.5	0.454	да
Necropirate_Fighting_CPAL	37.5	0.455	да
XX57	58.6	0.456	да
VETGLAMOUR	85.9	0.458	да
CA_BlackWidow_CPAL	47.6	0.460	да
Captain_Redgold_CPAL	62.5	0.462	да
Intro_10	21.9	0.462	
Cat_Tourist_CPAL	67.4	0.462	да
OgreSpy3_CPAL	17.0	0.462	
GoodGalBadGal	37.4	0.463	да
Gork_and_Mork	47.9	0.464	да
OEV	53.9	0.465	да
Gudrun_Xeno1	28.4	0.466	
Gnome_7_CPAL	23.3	0.471	
X80_Ped	31.5	0.472	да
Golden_Prince_AI1_CPAL	44.2	0.473	да
Bath	96.0	0.474	да
Area_Asia	45.6	0.475	да
Oneira_CPAL	28.7	0.477	
Captain_GrayNoGold	49.2	0.477	да
Captain_RedExt	64.3	0.478	да
Ressurect	37.2	0.480	да
Missile_Craft_CPAL	48.3	0.480	да
Dungeon_Sword	26.6	0.481	
Gnome_Museum	73.1	0.482	да
DragonCalling	39.2	0.483	да
C_115_CPAL	69.6	0.484	да
Escape_From_Hell_2_CPAL	28.9	0.484	
RedMage_FG_Oni2_CPAL	17.7	0.484	
Conjuring_CPAL	32.2	0.485	да
Kenshiro	48.5	0.487	да
Synth_Shy	15.7	0.487	
Captain_RedGreen	37.9	0.487	да
HAMMERER	76.6	0.487	да
X39_Ped	22.7	0.490	
Prize_Bazooka_CPAL	25.6	0.490	
Kingdom_Death	33.3	0.491	да
FALLEN2	76.4	0.491	да
Meditation_CPAL	68.1	0.492	да
PirateRest	47.1	0.493	да
MilitaryDrill_FG_250_CPAL	37.2	0.494	да
C_114_CPAL	92.2	0.495	да
SSFB_Ped	4.9	0.495	
LibraryBig_FG_842_CPAL	30.4	0.496	да
XX07	39.9	0.496	да
ExplosivesPed	15.0	0.497	
Homminator	18.9	0.498	
Captain_RedNoGreen_CPAL	38.8	0.499	да
CENOBITE	80.9	0.499	да
Flying_Cars_CPAL	53.1	0.501	да
Cats	38.7	0.502	да
X34_Ped	46.7	0.503	да
X59_Ped	41.5	0.504	да
CHEMKILL	51.5	0.505	да
X45_Ped	55.7	0.506	да
C_147	54.9	0.506	да
XX05	26.3	0.507	
Dream19	40.2	0.507	да
C_014_CPAL	24.6	0.507	
C_160	25.5	0.509	
Dream5	19.9	0.509	
Big_Fish_CPAL	61.8	0.509	да
Mechapilot	36.5	0.510	да
Robot_Pwr_CPAL	31.0	0.510	да
Command_Control	29.5	0.511	
Gnome_AI_2_CPAL	27.4	0.511	
Prize_30mm	27.9	0.512	
Gnome_Nude_197_CPAL	39.8	0.512	да
MirrorMirror_CPAL	39.3	0.515	да
Shield_Ped	29.7	0.517	
Prize_Dragon_3B	15.1	0.518	
CA_Baloon_CPAL	45.8	0.518	да
Pirate_Beach_CPAL	57.6	0.518	да
BATTLE_FORM_GAL	88.7	0.518	да
Noctis_3	31.7	0.518	да
Nucc_Flamer	48.8	0.520	да
C_148	47.2	0.520	да
AncientAliens_CPAL	52.2	0.520	да
X83_Ped	43.3	0.521	да
Impant1115_CPAL	17.2	0.521	
C_063	26.8	0.521	
BunkerDoor	45.2	0.522	да
SlavesToDarkness_FG_338_CPAL	35.9	0.522	да
Romanica	48.9	0.523	да
XX16	49.2	0.524	да
C_113	40.1	0.525	да
CLONETROOPER	64.9	0.526	да
C_135_CPAL	35.8	0.526	да
Klickor2_CPAL	62.7	0.526	да
C_110	52.5	0.527	да
C_001_CPAL	46.9	0.528	да
CodexGreen_FG_435_CPAL	40.8	0.528	да
CHAPLAIN	62.7	0.528	да
DARKLING_CPAL	42.7	0.529	да
X46_Ped	30.3	0.529	да
C_141	25.9	0.529	
Brainer_Ritsuko_Pinup	99.7	0.529	да
Pirate_Tentacles	31.6	0.530	да
Motoko1	51.2	0.530	да
NEKO_SWIFTPAW	59.5	0.531	да
CA_14	66.6	0.531	да
Xcom_Statue	22.9	0.531	
Floater	34.1	0.531	да
C_042	86.7	0.532	да
Space_Freighter_Raid	51.0	0.532	да
Rin_27	54.1	0.534	да
CIV_KILLS	40.8	0.534	да
Demonic_Transformation	26.4	0.536	
ABBEY	31.6	0.538	да
Space_Girl	26.0	0.538	
STABBER	52.2	0.539	да
Fungus_Adaptation	33.5	0.539	да
Ninja_67	30.1	0.541	да
Nationalization	34.6	0.541	да
XX74	37.2	0.542	да
C_068_CPAL	37.3	0.542	да
BlackDragon_FG_393_CPAL	25.9	0.542	
Demonic_Bondage	14.8	0.542	
Concealed	64.5	0.542	да
JUDGE_CPAL	40.2	0.543	да
MiBGirl	66.2	0.543	да
C_048	53.6	0.543	да
Hellcat_CPAL	27.6	0.544	
Black_Dragon1	18.5	0.544	
Maid_Cleaners	72.0	0.545	да
Alien_Love_LM_CPAL	51.2	0.545	да
Prize_Autoshotgun_CPAL	42.5	0.545	да
CA_29_CPAL	40.4	0.546	да
White_mage_2	25.7	0.547	
AAP_003_CPAL	52.7	0.547	да
CombatGirls	43.0	0.548	да
NanoCarbon_FG_432_CPAL	21.6	0.548	
Runt_Jacket_1_CPAL	65.4	0.548	да
Nekos_CPAL	43.7	0.548	да
Brivade_CPAL	43.0	0.549	да
C_025	52.1	0.549	да
Weaver	10.6	0.549	
Destruction	53.4	0.550	да
Prize_AT_Rifle	10.1	0.550	
Akiko_1	81.1	0.551	
Dream_Quest2	20.5	0.552	
Terminator	35.3	0.554	
WalkingThePlank_FG_167_CPAL	46.4	0.556	
SEC_SCI_ENG	33.2	0.557	
Cthulhu_Sacrifice_3_CPAL	27.8	0.558	
AI_Wild1	23.8	0.559	
Spector_Ped	41.2	0.559	
Portal_2	65.3	0.560	
Runtsy_5	43.1	0.561	
Govt_War	32.3	0.562	
C_140_CPAL	40.0	0.562	
X60_Ped	49.5	0.562	
Akasha_CPAL	21.1	0.562	
SSLV_Ped	3.7	0.563	
LASERKILL_CPAL	38.4	0.563	
Highway_Star	40.7	0.563	
ZanderFullUPED	34.5	0.563	
X50_CPAL	67.4	0.564	
LUCKYSHOT	65.3	0.564	
C_067	50.0	0.565	
Blood_Gal_CPAL	35.3	0.565	
sgr_07_CPAL	51.2	0.566	
Konoko	25.7	0.566	
Briefing_Terminal_Terror	45.1	0.566	
BIG_BUGEYE_WIZARD_SPECIALIZATION_CPAL	38.8	0.567	
Prize_Piranha	45.3	0.567	
Tits_Deep	64.7	0.567	
C_086	49.4	0.567	
RACE_KILLS_CPAL	36.5	0.569	
IDOL	36.9	0.569	
C_098_CPAL	40.5	0.569	
SEC_SCI_COM_CPAL	39.6	0.570	
Ritsuko_Smoking	29.5	0.570	
X64_Ped	47.9	0.571	
Brain_In_A_Jar	19.7	0.571	
PRO2	59.8	0.571	
HighwaymenFort_FG_113_CPAL	23.5	0.572	
XX15	77.7	0.572	
ChaosSyn	20.9	0.572	
Spacejunk3_CPAL	26.8	0.572	
EXECUTIONER_CPAL	42.2	0.573	
C_125	25.8	0.573	
Catgirl_Space	20.7	0.573	
HEALER	53.1	0.574	
SU_DS	27.5	0.576	
H_051_CPAL	24.3	0.576	
NINJABOO	48.0	0.579	
SCARAB	35.7	0.579	
NEPOTISM	61.9	0.580	
SEC_TRD_ENG	28.7	0.580	
X06_Ped_CPAL	33.8	0.580	
XX28_CPAL	47.3	0.580	
Brainer_5	36.9	0.581	
Delorean_Mission	19.8	0.581	
Zombie_Witch_1	29.7	0.581	
X57_Ped	21.0	0.581	
SectoidPed	47.8	0.582	
Gun_Queen_CPAL	54.5	0.582	
C_118	60.9	0.583	
Milking	78.9	0.583	
Aurora_51B	51.8	0.583	
Smith_Gal_CPAL	21.3	0.584	
Repentia_Nun_Outfit	12.1	0.584	
DRUUNA_1_CPAL	25.9	0.584	
RIFLEKILL	35.5	0.584	
FALLEN	44.0	0.586	
X47_Ped	34.2	0.586	
Elemental_Endurance	59.4	0.586	
Exposure2	47.0	0.586	
AI_Lokk_Scav1	27.2	0.587	
SpaceGal_CPAL	38.8	0.588	
Aquatoids	15.8	0.588	
LifeForce_FG_202_CPAL	38.0	0.588	
Atlantis	36.4	0.588	
Wpns_1	17.5	0.589	
REVIVE	86.7	0.589	
Gnome_Portrait_CPAL	33.7	0.589	
EP_Ammo_Ped	14.3	0.589	
C_097_CPAL	30.7	0.590	
Planet12_CPAL	34.8	0.590	
X48_Ped	12.2	0.590	
CrimeLord_FG_353_CPAL	28.3	0.590	
Trouble1_CPAL	50.6	0.590	
XX01	43.7	0.591	
ZanderSmallDark	40.4	0.591	
XX51	31.2	0.591	
Relaxing_At_Laptop_CPAL	65.3	0.593	
C_065	74.8	0.593	
H_003	37.4	0.594	
Teh_Gals	41.7	0.594	
EnergyCircuits_FG_361_CPAL	29.1	0.595	
Deep_One_Extra_CPAL	16.0	0.595	
GREEN_MAGOS_CPAL	41.9	0.595	
ChronoGirl_CPAL	51.9	0.595	
Mydra	38.0	0.595	
Lifter3_CPAL	16.6	0.596	
Uber_Farming_2_CPAL	37.8	0.596	
Hueg_Engines	25.4	0.596	
Dope	27.1	0.596	
GnomishAppleponics	46.3	0.596	
Bombs	39.5	0.598	
C_038	26.7	0.598	
Prize_Old_Earth_Appreciator	16.6	0.598	
FIREKILL	40.6	0.600	
Gnome_AI_4_CPAL	30.6	0.601	
Nades_2	18.1	0.602	
Lamia_Poster_CPAL	29.6	0.602	
Steampunkness2	22.2	0.603	
C_162_CPAL	17.4	0.603	
XC_184	42.3	0.603	
BlackDragonSmile_FG_541_CPAL	31.8	0.603	
Captain_RedNoGray	31.3	0.603	
Cthulhu_Temple	28.1	0.604	
Prize_DEagle	10.2	0.605	
C_096_CPAL	43.8	0.605	
C_012_CPAL	31.0	0.605	
C_150	21.6	0.606	
Rin_Gorgon21_CPAL	22.5	0.606	
Sniper_2	35.7	0.607	
Alice_Shrooms	27.7	0.607	
STATGAIN	58.9	0.608	
Hypno	47.3	0.608	
BountyHuntress	41.9	0.608	
Spaceships_10	47.4	0.609	
Gears_CPAL	25.1	0.609	
Emperor1	49.2	0.610	
Book_Keeper	32.3	0.610	
BlackDragon_FG_427_CPAL	27.8	0.610	
Ninja_Champion_T1_Consumed	46.9	0.610	
X65_Ped	64.1	0.611	
Queen_Insidious_2_CPAL	31.2	0.611	
C_088	47.9	0.611	
Cyber_Lessons_CPAL	20.1	0.612	
AIRGAL3	67.4	0.612	
Spaceships_7	47.9	0.612	
Cast_Into_Hell	25.8	0.612	
ShadowLoli_CPAL	19.6	0.612	
Red_Knight_CPAL	30.7	0.612	
RedShield_FG_431_CPAL	28.5	0.612	
Tankgirl	33.9	0.613	
XX04	31.3	0.613	
C_024	55.1	0.613	
zrbite	15.7	0.613	
Termigal_CPAL	35.5	0.613	
Noctis_2	29.8	0.613	
ALPHA	58.8	0.614	
Rin_Caged	18.3	0.614	
Evil_Grass	47.5	0.615	
C_119	43.1	0.615	
SJF	34.2	0.615	
MILF_Officer	18.9	0.615	
RedMage_and_Gudrun_FG_45	26.0	0.616	
ABYSSAL3	51.5	0.617	
Goblin_Zaxx	26.5	0.617	
Attack_Ships	31.7	0.618	
RUNESMITH3	56.7	0.618	
Inferno	46.9	0.618	
SMGS_2	43.2	0.618	
Alien_Abduction_CPAL	29.8	0.621	
DeepOnePed_CPAL	18.8	0.621	
Area_Murrica	41.8	0.622	
X70_Ped	11.1	0.622	
Ninja_Love	28.2	0.622	
Raynerd	30.8	0.623	
Runtsy_Steam	51.3	0.623	
Vampire	30.0	0.623	
Queen_Insidious	27.5	0.624	
PRISS_x1	41.0	0.624	
Homu_Annoyed	36.5	0.626	
SEC_COS_LDR	18.9	0.626	
Passenger	25.1	0.626	
Aurora_Gnome	32.6	0.626	
XX71	41.0	0.626	
Plane_Schematics_CPAL	27.2	0.627	
Cute_Sexy_Killbot	23.8	0.628	
Gun_Truck_CPAL	29.0	0.628	
Hellgate2_CPAL	18.4	0.628	
MSDF_1_CPAL	26.2	0.628	
Booty_SCI	38.0	0.629	
AirDictator_FG_485_CPAL	41.2	0.629	
H_009	67.9	0.630	
Freed	32.2	0.630	
Leia	27.8	0.631	
C_116_CPAL	36.0	0.631	
CyberpunkFlying_CPAL	38.9	0.631	
Captain_RedGray_CPAL	52.3	0.631	
Dream16B_CPAL	40.5	0.631	
Yunny_CPAL	43.4	0.634	
Genetics_Ped	6.6	0.635	
AlienShields	20.9	0.635	
MAGICKILL	42.4	0.635	
Rin_4	40.4	0.637	
Laser_Ammo_Ped	12.9	0.637	
Ninja_War_CPAL	32.3	0.637	
Dream23	39.8	0.637	
AlienFarmingFacility_CPAL	28.3	0.637	
Yig	19.7	0.637	
VIP_23	17.6	0.638	
C_070_CPAL	27.0	0.638	
Captain_GreenNoRed_CPAL	25.6	0.639	
Z_Pod	25.1	0.639	
Missions_A	27.6	0.639	
X58_CPAL	46.8	0.641	
Access_Denied_CPAL	55.0	0.641	
Noblewoman_Seduction	50.0	0.642	
Hot_Fusion_CPAL	60.5	0.643	
C_045_CPAL	42.9	0.643	
sgr_06_CPAL	38.7	0.643	
UNDERFIRE	58.4	0.644	
CRIMSON_MAGOS_CPAL	60.5	0.644	
AAP_024_CPAL	38.7	0.645	
DivineCode_FG_512_CPAL	39.3	0.645	
C_007_CPAL	44.0	0.645	
THORNY	65.6	0.646	
Necrobomber	17.2	0.646	
OgreShotgun_FG_180_CPAL	30.9	0.647	
Chort_CPAL	31.0	0.647	
Spectre_1_CPAL	24.3	0.648	
AuroraSinger_FG_375_CPAL	36.2	0.648	
TECHNOBARBARIAN	50.2	0.648	
Intro_00b_CPAL	34.2	0.648	
XX55	20.0	0.648	
Abusement_CPAL	37.8	0.648	
Tank_Avenger	38.2	0.649	
Destroyer3_CPAL	53.5	0.649	
Mars_Tunnels	23.7	0.649	
Research_Vessel	65.7	0.650	
C_106	28.1	0.650	
Prize_Hand_Mortar	18.3	0.650	
SHADOWQUEST_CPAL	35.5	0.650	
C_145	48.4	0.651	
Rin_Enthroned	31.1	0.651	
Intro_Escape_FG_347_CPAL	33.4	0.651	
X90_Ped	21.9	0.652	
GDX_Tharj_CPAL	18.0	0.652	
XX82_CPAL	31.7	0.652	
atomic_rockets_CPAL	78.7	0.652	
IDIOT	43.2	0.652	
MAG_Ammo_Ped	20.1	0.652	
VeteranOfPsychicWars_CPAL	27.4	0.653	
C_066	18.1	0.653	
Prize_City_Pass	39.5	0.654	
Captain_GreenNoGold_CPAL	30.2	0.654	
X68_Ped	37.9	0.656	
Fire_Magic2	50.6	0.656	
Spanking	20.4	0.656	
Beastmen_Taming_CPAL	18.1	0.657	
Gnome_Dungeon_Tour_CPAL	47.5	0.657	
C_016_CPAL	46.2	0.657	
C_026_CPAL	18.3	0.658	
ARMS	43.0	0.659	
Optronic_Computing	2.6	0.660	
Gnome_5_CPAL	22.7	0.660	
C_020_CPAL	48.8	0.660	
ZOMBI_REZ	57.9	0.660	
Death_Pile	42.5	0.660	
Catgirl_Mercenary	15.9	0.661	
Contact_Eurosyndicate	23.2	0.661	
PROUD_WARRIOR2	51.1	0.661	
Pentagram	17.5	0.661	
C_105	22.3	0.661	
Doomgal_P30_CPAL	29.5	0.661	
HybridControllers_CPAL	20.2	0.662	
C_130	27.5	0.662	
C_054	23.1	0.662	
Technocracy	19.0	0.662	
Hovertanks_CPAL	39.3	0.663	
C_027_CPAL	37.1	0.663	
Pods_CS1_CPAL	25.9	0.663	
H_008	24.2	0.663	
Robot_Attack	21.7	0.663	
Rena_1	25.0	0.664	
Captain_NoGreen	60.3	0.664	
VIP_Xenologist_CPAL	22.0	0.664	
SakuraZilla	45.9	0.665	
XX39_CPAL	50.6	0.665	
GnomeSuitCross_FG_373_CPAL	35.4	0.665	
Jillsville	37.5	0.666	
Subspace	28.1	0.666	
Runt_S252_CPAL	19.2	0.667	
C_072_CPAL	30.6	0.667	
Cyberpilot1	45.1	0.667	
Biker	35.0	0.667	
Catwarrior2	17.8	0.667	
Slime_Girl	16.5	0.668	
WayOfDeath_CPAL	25.6	0.668	
VIP_4	15.5	0.668	
X98_Ped	29.9	0.668	
Cemetery_FG_248_CPAL	20.3	0.669	
Jacketman_CPAL	36.0	0.669	
C_081_CPAL	23.8	0.670	
Captain_GrayGreen	55.1	0.670	
C_095	46.0	0.670	
ThermalVision_FG_354_CPAL	26.7	0.670	
BloomLady_IntroA_FG_361_CPAL	25.5	0.671	
Academy_Recruitment	44.9	0.671	
C_199	27.7	0.671	
C_061_CPAL	26.3	0.671	
Conqueror_CPAL	25.1	0.672	
MunShips_FG_103_CPAL	34.2	0.672	
PRISS_CPAL	25.3	0.672	
SYN_ADV_1	50.0	0.672	
X35_Ped	28.3	0.672	
X85_Ped	31.6	0.673	
RedMage_FG_Theban3_CPAL	21.7	0.673	
SUCCUBUS	62.1	0.673	
Queen_Gold_2b	54.1	0.673	
Guildmaster_Fanart_CPAL	26.6	0.674	
Dragon_Galley	66.8	0.674	
X49_Ped	16.5	0.675	
Missions_C	28.7	0.676	
XX35	19.9	0.676	
Interrogz_CPAL	17.7	0.676	
Systems_3	42.4	0.676	
Catgirl_Lewd	25.7	0.677	
xcomagents	26.0	0.677	
RadarRunt_3_CPAL	18.7	0.677	
C_121	35.6	0.677	
CA_11_CPAL	37.8	0.677	
X38_Ped	25.8	0.677	
C_037	43.5	0.678	
BlackDragon_FG_359_CPAL	25.1	0.678	
Prize_Aircar_Race_CPAL	38.2	0.678	
Night_Creatures	25.4	0.678	
ORANGE_MAGOS_CPAL	47.6	0.678	
C_056_CPAL	37.1	0.678	
C_099	33.6	0.679	
Muscle_Witch	40.0	0.679	
GudrunFacility_FG_154_CPAL	47.6	0.680	
Intro1_FG_Orky_CPAL	48.9	0.680	
C_005	22.8	0.681	
Pirate_C32_CPAL	29.1	0.681	
ShipEquips_FC_233_CPAL	31.4	0.681	
C_069	30.1	0.681	
Ninja_Champion	38.1	0.681	
MIA	21.6	0.681	
Moonbathing	51.8	0.681	
XX147	28.3	0.682	
Chryssie_2	25.8	0.683	
SchoolGraduation_FG_151_CPAL	56.0	0.683	
LUKA_GUNS_CPAL	52.7	0.683	
Syn_Armor_CPAL	16.5	0.683	
Dream10	65.0	0.683	
C_120_CPAL	45.0	0.683	
Captain_Doublegray_CPAL	14.4	0.683	
Struggle	36.4	0.684	
Snow_White_CPAL	50.3	0.684	
Cyber_Towers_CPAL	56.6	0.684	
CAPTAINS_11_CPAL	33.1	0.684	
Stalker1	13.3	0.684	
Sadako	11.5	0.685	
BUCCANEER	40.1	0.685	
BattleBeyond	47.7	0.685	
Zombie_Soldier_CPAL	16.1	0.685	
Rin_Queen_of_Hearts	38.7	0.685	
Gudrun_Vampire	51.1	0.685	
C_047	43.9	0.685	
BABEL	46.3	0.685	
BFM_CPAL	19.5	0.686	
Experiments_22	15.5	0.686	
Sakurabus_Ped	51.6	0.686	
BOMBER	48.7	0.686	
Weebcam	33.3	0.687	
Magnetic_Fields	33.4	0.687	
Boxxed	20.0	0.687	
C_089	66.4	0.687	
Cat_Clone_Tech_CPAL	27.0	0.688	
Journey	33.7	0.688	
NekomimiGunship_CPAL	36.7	0.688	
Cerebrala	57.7	0.689	
Deep_One_Love_CPAL	16.9	0.689	
Airplane_AI2_CPAL	35.6	0.690	
DoomChan2_CPAL	19.2	0.690	
Megabrute	20.5	0.690	
Dreamwave_CPAL	32.7	0.691	
Carol	32.2	0.692	
C_127	46.8	0.692	
Rin_18	11.6	0.693	
Pirate_Z1	15.4	0.693	
H_007	46.2	0.693	
C_117	28.1	0.694	
Prize_Dragon_2	16.3	0.694	
EVA_2	28.2	0.694	
Gnome_Clock2_CPAL	19.3	0.694	
WEIRDSEEKER	44.0	0.694	
WEAPON_PROFICIENCY	32.0	0.695	
SEC_SCI_MED	59.3	0.695	
SlimeInfestation_FG_70A_CPAL	39.1	0.695	
C_101_CPAL	55.5	0.695	
Nekomimi_Warlord	18.8	0.695	
RET_FUN_2	32.4	0.695	
VIP_6	39.0	0.696	
VIP_8	25.2	0.696	
Gudrun_X2_CPAL	9.5	0.696	
UNMAKER2_CPAL	34.2	0.696	
Big_Gun_Shop	29.6	0.696	
FluxAI_GoldenPrince_CPAL	39.5	0.697	
X99_Ped	26.6	0.697	
Industrial_CPAL	27.3	0.697	
Demonic_Rituals_3_CPAL	21.7	0.698	
Sleeping_Beauty	86.1	0.698	
GDX_Strip_Search_CPAL	30.5	0.698	
GDX_87	31.0	0.699	
Factory	56.9	0.699	
C_091	22.1	0.699	
Skullface_FG_871_CPAL	30.6	0.699	
Bat_x_Super	36.2	0.699	
AuroraBig11_CPAL	40.6	0.699	
Nekomimi_Mrsshan	14.7	0.699	
Nekomimi_Trading	22.2	0.700	
Prize_Loans	12.4	0.700	
VIP_15	21.0	0.700	
Robo_Spiders	34.9	0.700	
BlackDragon_FG_356_CPAL	12.0	0.700	
DEATHSCENE_1_CPAL	30.8	0.700	
MadGnome_FG_33_CPAL	26.3	0.700	
Rin_8	36.9	0.700	
Meeting_Cleo	35.3	0.701	
